indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
BIO,0.36489519676035437,0.25,0.46,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
ROU,0.3669560645987908,0.26,0.46,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
ADI,-0.08908686111306292,-0.2,0.02,0.1140000000000001,0.122,Forest - Subtropical-tropical moist lowland,0.23665205175807277
AEI,0.08744530227170164,-0.02,0.2,0.118,0.127,Forest - Subtropical-tropical moist lowland,0.23665205175807277
LFC,0.454451284271941,0.36,0.54,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
MFC,0.3732912566309802,0.27,0.47,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
HFC,0.15618403732939237,0.04,0.28,0.006,0.005,Forest - Subtropical-tropical moist lowland,0.23665205175807277
ACTspFract,0.28333600861043123,0.17,0.39,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
ACTspCount,0.28333600861043123,0.17,0.39,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
ACTspMean,0.21982351062068986,0.12,0.32,0.0,0.001,Forest - Subtropical-tropical moist lowland,0.23665205175807277
EVNspFract,0.23714722595266274,0.13,0.35,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
EVNspMean,0.19638547045117088,0.09,0.31,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
EVNspCount,0.24096521778004595,0.13,0.35,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
TFSD,0.011710305839099,-0.1,0.14,0.906,0.852,Forest - Subtropical-tropical moist lowland,0.23665205175807277
H_Havrda,0.12217474936539313,0.0,0.23,0.042,0.027,Forest - Subtropical-tropical moist lowland,0.23665205175807277
H_Renyi,0.12217474936539313,0.0,0.23,0.042,0.027,Forest - Subtropical-tropical moist lowland,0.23665205175807277
H_pairedShannon,-0.007999062393103553,-0.13,0.1,0.9159999999999999,0.884,Forest - Subtropical-tropical moist lowland,0.23665205175807277
H_gamma,-0.2447714732618282,-0.35,-0.13,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
H_GiniSimpson,0.09249177319395796,-0.03,0.2,0.12,0.099,Forest - Subtropical-tropical moist lowland,0.23665205175807277
RAOQ,-0.22385605343021434,-0.32,-0.11,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
AGI,0.2702677157358169,0.17,0.38,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
nROI,0.2843744525075649,0.18,0.38,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
aROI,0.2894300078639502,0.19,0.39,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.23665205175807277
ZCR,0.010355421645400499,-0.11,0.12,0.856,0.853,Forest - Subtropical-tropical moist montane,0.21534879761193
MEANt,0.10213842323603436,-0.02,0.2,0.08,0.069,Forest - Subtropical-tropical moist montane,0.21534879761193
VARt,0.20244300118299005,0.1,0.31,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
SKEWt,0.07594018731590386,-0.03,0.18,0.228,0.179,Forest - Subtropical-tropical moist montane,0.21534879761193
KURTt,0.21982412217807606,0.1,0.32,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
LEQt,0.20244300118299005,0.1,0.31,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
BGNt,0.16938419280769346,0.06,0.28,0.004,0.004,Forest - Subtropical-tropical moist montane,0.21534879761193
SNRt,0.2302181162904944,0.12,0.33,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
M,0.16938419280769346,0.06,0.28,0.004,0.004,Forest - Subtropical-tropical moist montane,0.21534879761193
Ht,-0.22167045759933196,-0.32,-0.1,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
ACTtFraction,0.2750939641315086,0.16,0.38,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
ACTtCount,0.2750939641315086,0.16,0.38,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
ACTtMean,0.20368797347559575,0.09,0.31,0.002,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
EVNtFraction,0.32387345799964545,0.21,0.43,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
EVNtMean,0.341146015786942,0.23,0.44,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
EVNtCount,0.26201067130263783,0.15,0.36,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
MEANf,0.2034179662064706,0.1,0.31,0.002,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
VARf,0.19339720663205381,0.09,0.3,0.002,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
SKEWf,-0.2450036776121058,-0.36,-0.13,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
KURTf,-0.2348370773766785,-0.35,-0.13,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
NP,0.4150053760258203,0.31,0.51,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
LEQf,0.1934464324471052,0.09,0.3,0.002,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
BGNf,0.11315784234938553,0.0,0.22,0.052,0.044,Forest - Subtropical-tropical moist montane,0.21534879761193
SNRf,0.334528904133293,0.23,0.43,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
Hf,0.07211453330138752,-0.04,0.19,0.206,0.186,Forest - Subtropical-tropical moist montane,0.21534879761193
H,0.017035621897654406,-0.09,0.13,0.756,0.776,Forest - Subtropical-tropical moist montane,0.21534879761193
EAS,0.33814571579066965,0.22,0.43,0.0,0.0,Forest - Subtropical-tropical moist montane,0.21534879761193
ECU,0.10426376616871962,-0.02,0.21,0.08,0.068,Forest - Subtropical-tropical moist montane,0.21534879761193
ECV,0.1671738067691545,0.04,0.28,0.006,0.001,Forest - Subtropical-tropical moist montane,0.21534879761193
EPS,0.1490853402003263,0.03,0.27,0.02,0.005,Forest - Subtropical-tropical moist montane,0.21534879761193
