indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
EPS_KURT,0.021541761711994956,-0.06,0.11,0.64,0.628,Forest - Subtropical-tropical moist lowland,0.17575404897608995
EPS_SKEW,0.015769167028546815,-0.07,0.1,0.698,0.737,Forest - Subtropical-tropical moist lowland,0.17575404897608995
ACI,0.24204279444933566,0.15,0.32,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
NDSI,-0.09178408067935123,-0.17,-0.02,0.020000000000000018,0.031,Forest - Subtropical-tropical moist lowland,0.17575404897608995
rBA,-0.09178408067935123,-0.17,-0.02,0.020000000000000018,0.031,Forest - Subtropical-tropical moist lowland,0.17575404897608995
AnthroEnergy,0.15752633722460416,0.08,0.23,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
BioEnergy,-0.004996061604695327,-0.09,0.07,0.9339999999999999,0.921,Forest - Subtropical-tropical moist lowland,0.17575404897608995
BIO,-0.14458074266918355,-0.23,-0.05,0.0,0.001,Forest - Subtropical-tropical moist lowland,0.17575404897608995
ROU,0.0003110422553015426,-0.08,0.08,0.972,0.995,Forest - Subtropical-tropical moist lowland,0.17575404897608995
ADI,-0.06238403302307132,-0.15,0.02,0.17599999999999993,0.156,Forest - Subtropical-tropical moist lowland,0.17575404897608995
AEI,0.06583819103395702,-0.02,0.16,0.154,0.127,Forest - Subtropical-tropical moist lowland,0.17575404897608995
LFC,0.39317803343749375,0.31,0.46,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
MFC,0.2982703756608645,0.21,0.38,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
HFC,-0.14246573456728112,-0.22,-0.05,0.0020000000000000018,0.002,Forest - Subtropical-tropical moist lowland,0.17575404897608995
ACTspFract,0.12407597212373965,0.04,0.22,0.006,0.004,Forest - Subtropical-tropical moist lowland,0.17575404897608995
ACTspCount,0.12407597212373965,0.04,0.22,0.006,0.004,Forest - Subtropical-tropical moist lowland,0.17575404897608995
ACTspMean,0.2526432575179457,0.18,0.33,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
EVNspFract,0.1760121619014953,0.09,0.26,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
EVNspMean,0.14956162954316046,0.07,0.23,0.002,0.001,Forest - Subtropical-tropical moist lowland,0.17575404897608995
EVNspCount,0.13217165773415473,0.04,0.22,0.004,0.002,Forest - Subtropical-tropical moist lowland,0.17575404897608995
TFSD,0.2127498041210299,0.12,0.3,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
H_Havrda,-0.1497851191636364,-0.24,-0.07,0.0,0.002,Forest - Subtropical-tropical moist lowland,0.17575404897608995
H_Renyi,-0.1497851191636364,-0.24,-0.07,0.0,0.002,Forest - Subtropical-tropical moist lowland,0.17575404897608995
H_pairedShannon,-0.1759580736278433,-0.26,-0.09,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
H_gamma,-0.09648864444631952,-0.18,-0.02,0.028000000000000025,0.032,Forest - Subtropical-tropical moist lowland,0.17575404897608995
H_GiniSimpson,-0.1689128275097725,-0.25,-0.08,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
RAOQ,-0.028632730644350835,-0.11,0.06,0.504,0.507,Forest - Subtropical-tropical moist lowland,0.17575404897608995
AGI,0.2554081172894965,0.17,0.34,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
nROI,0.22894202250760476,0.14,0.3,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
aROI,0.2877311988567698,0.21,0.36,0.0,0.0,Forest - Subtropical-tropical moist lowland,0.17575404897608995
ZCR,0.15157015610165903,0.08,0.23,0.0,0.0,Forest - Subtropical-tropical moist montane,0.15564190709676873
MEANt,-0.22430068305938647,-0.29,-0.15,0.0,0.0,Forest - Subtropical-tropical moist montane,0.15564190709676873
VARt,-0.06809736684260889,-0.16,0.02,0.1140000000000001,0.109,Forest - Subtropical-tropical moist montane,0.15564190709676873
SKEWt,0.15984267513064626,0.07,0.23,0.0,0.0,Forest - Subtropical-tropical moist montane,0.15564190709676873
KURTt,0.049645966917151035,-0.04,0.14,0.244,0.222,Forest - Subtropical-tropical moist montane,0.15564190709676873
LEQt,-0.06809736684260889,-0.16,0.02,0.1140000000000001,0.109,Forest - Subtropical-tropical moist montane,0.15564190709676873
BGNt,-0.06278956920063879,-0.16,0.02,0.1379999999999999,0.145,Forest - Subtropical-tropical moist montane,0.15564190709676873
SNRt,0.04731330929569634,-0.03,0.13,0.238,0.242,Forest - Subtropical-tropical moist montane,0.15564190709676873
M,-0.06278956920063879,-0.16,0.02,0.1379999999999999,0.145,Forest - Subtropical-tropical moist montane,0.15564190709676873
Ht,-0.05280904544252686,-0.14,0.03,0.19199999999999995,0.19,Forest - Subtropical-tropical moist montane,0.15564190709676873
ACTtFraction,0.09481921029728364,0.02,0.18,0.024,0.023,Forest - Subtropical-tropical moist montane,0.15564190709676873
ACTtCount,0.09481921029728364,0.02,0.18,0.024,0.023,Forest - Subtropical-tropical moist montane,0.15564190709676873
ACTtMean,0.04703231626962064,-0.03,0.14,0.27,0.245,Forest - Subtropical-tropical moist montane,0.15564190709676873
EVNtFraction,0.16963987350549295,0.1,0.25,0.0,0.0,Forest - Subtropical-tropical moist montane,0.15564190709676873
EVNtMean,0.2927220138503255,0.22,0.37,0.0,0.0,Forest - Subtropical-tropical moist montane,0.15564190709676873
EVNtCount,0.08471813307557514,0.0,0.17,0.032,0.04,Forest - Subtropical-tropical moist montane,0.15564190709676873
MEANf,-0.09274379167279388,-0.18,-0.0,0.04400000000000004,0.033,Forest - Subtropical-tropical moist montane,0.15564190709676873
VARf,-0.03989217246897793,-0.12,0.06,0.3680000000000001,0.366,Forest - Subtropical-tropical moist montane,0.15564190709676873
SKEWf,-0.0005564046413487402,-0.08,0.09,0.986,0.991,Forest - Subtropical-tropical moist montane,0.15564190709676873
KURTf,-0.019794814497818218,-0.1,0.07,0.6419999999999999,0.63,Forest - Subtropical-tropical moist montane,0.15564190709676873
NP,0.05647518247495995,-0.03,0.14,0.2,0.189,Forest - Subtropical-tropical moist montane,0.15564190709676873
LEQf,-0.05418731282456598,-0.14,0.03,0.21599999999999997,0.224,Forest - Subtropical-tropical moist montane,0.15564190709676873
BGNf,-0.04892016645794183,-0.14,0.04,0.242,0.256,Forest - Subtropical-tropical moist montane,0.15564190709676873
SNRf,0.1753132295934349,0.1,0.25,0.0,0.0,Forest - Subtropical-tropical moist montane,0.15564190709676873
Hf,-0.11810116420788545,-0.2,-0.04,0.0020000000000000018,0.005,Forest - Subtropical-tropical moist montane,0.15564190709676873
H,-0.005802930795840874,-0.08,0.08,0.8580000000000001,0.885,Forest - Subtropical-tropical moist montane,0.15564190709676873
